,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
118,44,3,180019,3,1,0,4,4,0,0,0,40,38,0
119,43,3,179866,0,2,11,4,4,0,0,0,40,38,1
120,31,1,198770,0,2,9,4,4,0,0,0,60,38,0
121,18,3,219256,1,1,11,3,4,0,0,0,25,38,0
122,19,3,248730,1,1,10,3,4,1,0,0,30,38,0
123,41,3,110732,1,2,12,1,4,0,0,0,40,38,0
124,41,3,181020,3,2,5,4,4,0,0,0,40,38,0
125,69,3,183791,3,2,0,1,4,0,0,0,25,38,0
126,48,0,42972,2,0,9,5,4,0,0,0,40,38,1
127,28,3,134813,3,1,9,3,4,1,0,0,40,38,0
128,27,5,115438,3,0,2,0,4,1,0,0,60,20,1
129,41,3,239296,4,0,9,0,4,1,0,2415,50,38,1
130,41,3,428420,1,0,0,0,4,1,0,0,40,38,0
131,24,3,247846,3,1,2,4,2,0,0,0,40,38,0
132,20,8,334105,3,1,14,1,4,0,0,0,40,38,0
133,42,4,100793,2,0,9,0,4,1,0,0,41,38,1
134,57,3,244478,3,0,2,0,2,1,0,0,48,38,0
135,30,3,142921,1,1,9,1,4,0,0,0,40,38,0
136,36,3,182863,3,0,11,0,4,1,0,0,60,38,1
137,49,3,171128,5,0,6,0,2,1,0,0,40,38,0
138,33,3,145402,3,0,6,5,4,0,0,0,35,38,0
139,23,3,306309,5,0,4,0,4,1,0,0,40,38,0
140,46,3,83822,4,0,9,0,4,1,0,0,40,38,0
141,18,3,262118,1,1,0,3,1,0,0,0,22,10,0
142,40,3,155972,3,0,3,0,4,1,7688,0,55,38,1
143,43,4,214503,3,0,3,0,4,1,0,1887,45,38,1
144,34,3,159303,4,1,9,3,4,0,0,0,30,38,0
145,47,5,174995,3,3,3,1,4,0,0,0,30,38,0
146,44,3,26669,1,3,3,4,4,0,0,0,30,38,0
147,33,3,177727,3,0,11,0,4,1,0,0,40,38,1
148,55,3,124771,0,0,3,0,4,1,15024,0,50,38,1
149,19,3,456736,3,1,11,1,4,1,2907,0,30,38,0
150,28,3,216604,1,1,7,1,2,1,0,0,14,38,0
151,27,3,221561,5,0,7,5,2,0,0,0,32,38,0
152,50,3,114564,5,0,6,0,4,1,0,0,20,38,0
153,22,3,315476,5,1,2,4,4,1,0,0,40,38,0
154,40,6,67874,0,0,0,0,4,1,0,1887,45,38,1
155,25,3,126110,1,1,0,3,4,0,0,0,40,38,0
156,26,1,102264,3,1,2,1,4,1,0,0,40,38,0
157,22,3,537222,0,1,11,1,4,1,0,0,25,38,0
158,42,3,113732,1,1,5,4,2,0,0,625,40,38,0
159,38,4,93225,0,2,3,1,4,1,0,0,40,38,0
160,55,3,43064,5,0,7,0,4,1,0,0,30,38,0
161,32,3,136921,3,0,11,0,4,1,0,0,40,38,0
162,22,3,388885,3,0,2,0,4,1,0,0,45,38,0
163,29,3,142249,0,1,11,3,4,1,0,0,40,38,0
164,46,6,56841,4,0,3,0,4,1,0,0,45,38,1
165,31,3,156493,1,0,3,0,4,1,0,0,40,38,1
166,58,5,159021,2,0,9,0,4,1,0,0,16,38,1
167,42,3,190910,3,0,2,0,4,1,0,0,45,38,0
168,18,3,41879,3,1,5,4,4,1,0,0,25,38,0
169,58,1,137249,3,2,3,1,4,1,0,0,33,38,0
170,54,3,236157,3,0,9,0,4,1,0,1887,40,38,1
171,34,3,189759,4,1,9,1,4,1,0,0,40,38,0
172,26,3,239877,0,1,0,1,4,0,0,0,40,38,0
173,61,3,21175,5,0,3,0,4,1,0,0,60,38,0
174,48,1,67229,4,2,0,4,2,0,0,0,40,38,0
175,36,3,236391,1,0,3,0,4,1,0,0,45,38,1
176,24,3,325596,1,0,6,0,4,1,0,0,45,38,0
177,40,3,83411,1,0,6,0,4,1,0,0,37,38,0
178,33,4,154227,3,0,11,0,4,1,0,0,50,38,1
179,37,3,248010,1,0,6,0,4,1,0,1887,40,38,1
180,34,3,198613,4,1,3,3,4,1,4650,0,40,38,0
181,56,4,321529,1,0,3,0,4,1,15024,0,40,38,1
182,28,8,168524,3,0,14,3,4,0,0,0,38,38,1
183,37,3,203079,0,3,3,1,4,0,0,0,55,38,0
184,44,3,284652,3,2,11,4,2,0,0,0,40,38,0
185,64,8,201368,1,0,14,0,4,1,0,0,8,38,0
186,54,3,59840,3,2,5,1,4,1,0,0,45,38,0
187,23,3,52753,3,1,6,1,4,1,0,0,50,38,0
188,34,6,513100,0,1,4,1,2,1,0,0,40,41,0
189,22,3,199266,3,1,7,1,4,0,0,0,45,38,0
190,33,3,196385,0,0,3,0,4,1,0,1977,40,38,1
191,39,3,163205,0,2,9,1,4,1,0,0,50,38,1
192,47,3,411047,1,2,0,1,2,0,0,0,37,38,0
193,79,8,48574,5,3,14,1,4,1,0,0,40,38,0
194,26,3,209440,3,1,9,4,2,0,0,0,55,38,0
195,31,3,56964,1,2,3,4,4,0,0,0,40,38,0
196,44,3,299197,1,1,13,1,4,1,0,0,45,38,0
197,42,4,240628,4,0,9,5,4,0,0,0,50,38,1
198,19,3,355313,3,1,6,1,4,0,0,0,40,38,0
199,27,3,132267,3,0,5,0,4,1,0,0,40,38,1
200,51,1,174861,1,0,10,0,4,1,0,0,40,38,1
201,28,4,142443,0,0,3,0,4,1,0,0,50,38,0
202,57,3,26716,0,2,2,1,4,1,0,0,45,38,0
203,45,1,185588,0,2,9,4,4,0,0,0,40,38,0
204,50,3,175029,1,0,9,0,4,1,0,0,40,38,1
205,34,4,34848,0,0,11,0,4,1,0,0,54,38,0
206,45,3,411273,5,0,2,0,2,1,0,0,40,38,0
207,73,1,143437,3,0,3,0,4,1,0,0,20,38,0
208,34,3,357145,0,0,9,5,4,0,0,0,50,38,1
209,31,3,236861,1,0,11,0,4,1,0,0,55,38,1
210,19,3,53355,5,1,11,1,4,1,0,0,12,38,0
211,25,3,29106,1,1,7,3,4,0,0,0,50,38,0
212,38,0,213274,1,2,2,4,4,0,6497,0,40,38,0
213,39,3,22463,0,0,13,0,4,1,0,0,40,38,0
214,23,3,180497,0,1,12,3,2,0,0,0,32,38,0
215,49,3,37306,3,0,6,0,4,1,0,0,40,38,0
216,33,0,137814,3,1,7,1,4,1,0,0,32,38,0
217,21,3,447488,5,1,6,2,4,1,0,0,38,25,0
218,31,3,220915,1,2,2,1,4,1,0,0,40,38,0
219,23,3,42251,0,1,3,1,4,0,0,0,45,38,0
220,34,3,162312,0,0,0,0,1,1,0,0,40,29,0
221,25,3,77698,3,1,6,1,1,0,0,0,40,29,0
222,39,3,282951,3,1,2,4,4,1,0,0,40,38,0
223,52,4,311259,3,0,11,0,4,1,0,0,40,38,1
224,63,1,65479,5,0,13,0,4,1,7688,0,40,38,1
225,41,3,277256,1,0,2,0,4,1,0,0,40,38,0
226,46,3,312088,0,0,9,0,4,1,15024,0,38,38,1
227,53,1,169719,3,0,3,0,4,1,0,0,40,38,0
228,25,8,270276,5,2,14,1,4,0,1055,0,40,38,0
229,77,8,172744,1,0,14,0,4,1,0,0,35,38,0
230,18,3,96869,5,1,8,3,4,1,0,0,40,38,0
231,38,3,237943,4,0,9,0,4,1,0,0,50,38,0
232,55,3,119751,4,1,3,4,1,0,0,0,50,36,0
233,34,3,236861,3,0,12,0,4,1,0,0,40,38,1
234,80,5,201092,3,0,7,0,4,1,0,0,30,38,0
235,34,3,147215,1,2,12,4,4,0,0,0,60,38,0
236,52,3,152373,1,0,12,0,4,1,5013,0,40,38,0
237,42,3,227968,3,1,7,4,2,0,0,0,28,13,0
238,26,3,362617,1,1,11,1,4,0,0,0,40,38,0
239,31,3,103435,3,0,13,0,4,1,0,0,40,38,0
240,25,1,281412,3,1,7,3,4,0,0,0,35,38,0
241,55,5,105239,3,0,2,0,4,1,0,2057,60,38,0
242,19,3,230165,1,1,7,3,4,0,0,0,12,38,0
243,62,5,177493,1,0,13,0,4,1,0,0,32,38,0
244,22,0,104443,1,1,0,3,4,0,0,0,20,38,0
245,39,8,110342,3,0,14,5,4,0,0,0,50,38,0
246,35,3,143385,3,0,5,0,4,1,0,0,40,38,0
247,28,3,107189,3,0,11,3,4,0,0,0,40,38,0
248,47,3,212944,3,0,13,0,4,1,0,0,70,38,1
249,44,6,138634,3,0,6,0,4,1,0,0,40,38,0
250,21,3,99970,1,1,11,3,4,1,0,0,15,38,0
251,35,3,203717,1,1,2,1,4,1,0,0,50,38,0
252,24,3,313956,0,0,9,0,4,1,0,0,40,38,1
253,42,0,177937,0,1,9,1,4,1,0,0,40,41,0
254,28,3,193868,0,1,12,3,4,1,0,0,50,38,0
255,21,3,250939,1,1,6,2,4,1,0,0,35,38,0
256,62,0,57629,1,2,12,1,2,1,4650,0,40,38,0
257,39,3,281768,3,1,7,1,2,0,0,0,40,38,0
258,30,6,260782,3,1,7,1,4,1,0,0,40,38,0
259,72,5,243769,4,1,9,1,4,1,0,1429,20,38,0
260,50,3,109937,1,0,3,5,4,0,0,0,50,38,0
261,28,1,134890,4,1,9,1,4,1,0,0,40,38,0
262,29,3,100293,1,1,9,1,4,0,0,0,40,38,0
263,26,3,132179,0,1,0,3,4,0,0,0,40,38,0
264,27,3,116372,4,1,3,1,4,0,0,0,40,38,0
265,29,3,255412,1,0,5,0,4,1,3103,0,40,38,1
266,61,8,195789,3,0,14,0,4,1,0,0,40,38,0
267,29,3,342400,5,0,2,0,4,1,0,0,25,38,0
268,21,8,65481,1,1,14,3,4,0,0,0,30,38,0
269,31,3,169085,5,0,11,5,4,0,0,0,20,38,0
270,25,3,177221,3,0,3,0,4,1,0,0,75,38,0
271,58,3,65325,5,0,13,0,4,1,0,0,40,38,1
272,64,3,118944,1,0,3,5,4,0,0,0,40,38,1
273,46,6,149337,4,1,3,1,4,1,0,0,38,38,0
274,53,8,237868,3,0,14,0,4,1,0,0,35,38,1
275,19,3,106183,3,1,7,3,0,0,0,0,35,38,0
276,42,3,226388,3,2,7,1,2,1,0,0,52,38,0
277,18,3,220754,5,1,5,3,4,1,0,0,24,38,0
278,58,4,204021,0,0,2,0,4,1,15024,0,50,38,1
279,20,3,347391,1,1,10,1,2,1,0,0,60,38,0
280,35,0,413930,3,0,2,0,4,1,0,0,40,38,1
281,32,3,174201,3,0,5,0,4,1,0,0,38,38,1
282,23,3,145917,3,1,5,1,4,0,0,0,25,38,0
283,31,3,241797,1,2,12,4,4,0,0,0,40,38,0
284,33,3,265168,0,0,11,0,2,1,0,0,55,38,0
285,41,3,171234,1,1,6,1,4,0,0,0,48,38,0
286,22,3,178452,3,1,6,3,2,1,0,0,40,38,0
287,46,3,157857,1,0,10,0,4,1,0,0,40,38,1
288,61,0,512864,1,0,13,0,2,1,0,0,40,38,0
289,30,3,296462,3,1,3,1,2,1,0,0,40,38,0
290,42,3,171615,3,0,3,0,4,1,0,0,55,38,1
291,63,3,214071,5,0,5,0,4,1,0,0,40,38,0
292,26,3,172421,1,0,11,0,4,1,0,0,40,38,0
293,42,3,195488,5,2,0,4,4,0,0,0,40,38,0
294,23,3,316841,1,0,7,0,4,1,0,0,40,38,0
295,25,3,236267,3,1,6,4,4,1,0,1590,40,38,0
296,30,3,236543,5,0,7,0,4,1,0,0,32,7,1
297,23,3,318483,3,1,11,3,4,1,0,0,40,38,0
298,34,5,163756,1,1,4,1,4,1,27828,0,60,38,1
299,30,3,238186,3,0,6,2,4,1,0,2057,48,38,0
300,39,3,329980,1,0,2,0,4,1,0,0,40,38,1
301,30,3,169269,5,1,5,2,4,1,0,1721,38,32,0
302,38,1,34744,1,2,0,4,4,0,0,0,38,38,0
303,26,3,98114,3,2,3,3,4,0,0,0,40,38,0
304,20,3,109667,1,1,5,3,4,1,0,0,16,38,0
305,37,1,263690,0,1,9,4,2,1,0,0,40,41,0
306,33,3,147430,3,0,0,3,4,0,0,0,40,38,0
307,24,3,224238,0,1,0,3,4,1,0,0,40,38,0
308,42,4,212894,0,0,3,0,4,1,0,0,60,38,1
309,51,5,136708,3,0,11,0,1,1,3103,0,84,39,0
310,56,1,38573,1,0,12,0,4,1,0,0,45,38,1
311,22,3,197200,1,1,5,3,4,1,0,0,40,38,0
312,52,5,182796,1,0,4,0,4,1,0,0,60,38,0
313,44,3,184527,0,2,3,4,4,0,4934,0,45,38,1
314,34,3,145231,3,0,0,5,4,0,4064,0,35,38,0
315,51,3,43354,1,2,2,1,4,1,0,0,42,38,1
316,20,8,318865,1,1,14,1,4,1,0,0,40,38,0
317,19,3,355712,1,1,11,1,4,0,0,0,25,38,0
318,37,3,98776,0,0,3,0,4,1,0,0,40,38,1
319,68,3,257557,3,0,6,0,2,1,0,0,40,38,1
320,22,3,102258,1,2,10,1,4,1,0,0,40,38,0
321,56,4,170287,0,0,3,0,4,1,0,0,40,38,0
322,37,3,243409,3,0,2,0,4,1,0,0,40,38,0
323,52,3,55608,5,0,6,0,4,1,0,0,40,25,0
324,26,3,248057,3,2,5,3,4,1,0,0,40,32,0
325,33,3,95530,4,0,9,0,4,1,0,0,50,38,0
326,45,1,54038,4,2,9,4,4,0,0,0,42,38,0
327,18,3,161245,5,1,7,3,4,1,0,0,15,38,0
328,43,5,388725,1,0,4,0,4,1,0,0,60,38,1
329,64,5,71807,2,0,9,0,4,1,15024,0,50,41,1
330,18,3,228216,3,1,5,3,4,1,0,0,20,38,0
331,20,8,303121,1,1,14,3,4,1,0,0,45,38,0
332,57,3,78020,3,0,2,0,4,1,0,0,40,38,1
333,41,3,249254,3,2,0,4,4,0,3674,0,42,38,0
334,34,3,87218,4,0,3,0,4,1,0,1887,50,38,1
335,19,3,304299,3,1,11,4,4,0,0,0,40,38,0
336,44,3,196234,5,2,7,4,4,0,0,0,55,5,0
337,56,3,197875,5,3,7,4,4,0,0,0,40,38,0
338,36,4,48063,3,0,4,0,4,1,0,0,80,38,0
339,48,3,253596,0,2,3,4,4,0,0,0,48,38,0
340,29,3,39257,3,0,13,0,4,1,0,0,40,38,1
341,33,3,56150,0,1,2,1,4,1,2174,0,40,38,0
342,31,3,179415,5,0,7,0,4,1,0,0,40,25,0
343,39,3,252445,4,0,9,0,4,1,0,0,45,38,1
344,66,3,275918,3,0,3,0,4,1,10605,0,40,38,1
345,27,3,106562,0,1,9,1,4,0,0,0,50,38,1
346,39,3,198654,3,2,3,4,2,0,99999,0,40,38,1
347,59,3,107318,5,0,2,0,4,1,5178,0,50,38,1
348,26,3,181896,3,1,7,3,4,0,0,0,40,38,0
349,31,3,106014,1,2,2,4,4,1,0,0,40,38,0
350,45,8,319993,3,3,14,4,4,0,0,0,40,25,0
351,23,3,197997,3,1,5,3,4,1,0,0,30,38,0
352,36,1,173542,3,2,0,4,4,0,0,0,40,38,0
353,34,3,207564,1,0,7,5,4,0,0,0,12,38,1
354,32,3,224462,3,0,13,0,4,1,0,0,84,38,1
355,37,3,123361,0,0,9,0,2,1,0,0,50,38,1
356,33,3,90409,0,1,11,1,4,1,0,0,45,38,0
357,50,5,165001,4,0,9,0,4,1,99999,0,80,38,1
358,32,0,149573,1,1,10,1,2,1,0,0,40,38,0
359,35,3,249456,0,1,0,3,2,0,0,0,40,38,0
360,37,3,149898,5,0,2,0,4,1,0,0,40,38,0
361,44,3,292985,1,2,2,1,4,1,0,0,60,38,0
362,57,3,50223,1,2,5,2,4,1,0,0,25,38,0
363,29,1,400074,1,0,3,3,4,0,0,0,40,38,0
364,55,3,197399,3,0,2,0,4,1,0,0,50,38,1
365,43,4,209547,4,0,9,0,4,1,0,0,25,38,1
366,43,3,52433,1,0,11,0,4,1,0,0,70,38,0
367,45,5,355978,1,0,11,0,4,1,0,0,60,38,1
368,33,5,48214,4,0,9,5,4,0,0,0,8,38,0
369,26,3,190873,5,2,7,4,4,0,0,0,40,10,0
370,23,3,278390,1,0,11,0,4,1,0,0,68,38,0
371,41,3,203217,5,2,2,1,4,1,0,0,40,25,0
372,24,3,279175,3,0,2,0,4,1,0,0,40,38,0
373,47,5,194590,0,0,11,0,4,1,0,0,44,38,0
374,34,5,198813,3,1,2,3,4,1,0,0,45,38,0
375,40,3,187294,3,0,3,0,4,1,0,0,40,38,1
376,28,3,302903,0,0,9,5,1,0,0,1485,40,38,0
377,24,3,154835,3,1,3,3,1,0,0,0,40,34,0
378,73,8,73402,1,0,14,0,4,1,0,0,10,38,0
379,23,3,100345,3,1,2,2,4,1,0,0,15,38,0
380,43,5,126320,3,0,3,0,2,1,0,0,40,38,1
381,26,3,142226,0,2,12,1,4,0,0,0,40,38,0
382,58,5,112076,2,0,3,5,4,0,0,1485,35,38,1
383,52,3,225339,3,3,0,4,2,0,0,0,35,38,0
384,29,3,211208,5,0,13,0,4,1,0,0,99,38,1
385,47,3,200808,5,0,7,0,4,1,0,0,35,3,0
386,49,3,220618,3,2,0,4,2,0,0,0,37,38,0
387,40,3,210493,5,3,0,4,4,0,0,0,40,38,0
388,62,5,369734,3,0,0,5,4,0,0,0,40,38,0
389,49,3,27898,3,0,3,0,4,1,0,1977,55,38,1
390,50,3,138193,0,2,9,2,4,0,0,0,50,38,1
391,31,3,224234,3,1,13,3,2,1,0,0,40,38,0
392,48,1,188741,4,1,9,1,4,0,0,0,50,38,0
393,24,3,183772,3,1,2,4,4,0,0,0,40,38,0
394,41,8,155041,3,1,14,3,4,0,3418,0,40,38,0
395,37,3,79586,3,2,6,3,1,1,0,0,60,38,0
396,45,3,355781,0,0,3,0,1,1,0,0,45,23,1
397,63,8,156158,3,0,14,0,4,1,0,0,16,38,0
398,36,3,116358,4,0,3,0,1,1,0,0,45,18,0
399,45,3,59287,0,0,3,0,4,1,0,0,40,38,0
400,41,3,138868,0,1,11,1,4,0,0,0,40,38,0
401,26,3,185885,1,1,12,2,4,0,0,0,20,38,0
402,17,3,40299,5,1,11,3,4,0,0,0,25,38,0
403,27,3,500068,3,0,7,0,4,1,0,0,36,41,0
404,43,3,51494,3,0,6,0,4,1,0,0,65,38,0
405,35,3,179481,3,1,13,3,4,1,0,0,55,38,0
406,38,3,365907,0,2,0,4,4,0,0,0,40,38,0
407,26,3,284343,3,1,6,1,4,1,0,0,40,38,0
408,28,3,204862,1,1,3,3,4,0,0,0,40,38,0
409,38,3,272476,0,0,9,5,4,0,0,0,24,38,1
410,36,3,175130,5,2,13,4,4,0,0,0,40,38,0
411,33,3,118941,3,0,0,5,4,0,0,0,40,38,1
412,19,3,164339,3,1,5,3,4,1,1055,0,70,38,0
413,22,8,213291,1,1,14,3,4,1,0,0,25,38,0
414,42,0,55457,5,0,0,0,4,1,0,0,40,25,0
415,50,3,280292,5,0,13,0,4,1,0,0,40,38,1
416,30,3,446894,3,0,5,0,4,1,0,0,30,38,0
417,37,6,67083,1,0,9,2,1,1,0,0,40,0,0
418,54,4,159219,4,0,9,0,4,1,99999,0,40,38,1
419,52,4,168539,0,1,3,1,4,1,0,0,40,38,0
420,65,3,88145,5,0,5,0,3,1,0,0,40,41,0
421,33,3,150309,3,2,2,1,4,0,0,0,40,38,0
422,25,3,122999,1,1,12,2,4,1,0,0,40,38,0
423,24,3,302195,0,1,11,1,4,1,0,0,45,38,0
424,26,3,210982,1,2,0,4,2,0,114,0,40,38,0
425,39,3,177140,3,2,0,1,4,1,0,0,40,38,1
426,59,3,113838,3,2,7,1,4,0,0,0,40,38,0
427,29,3,97165,1,1,0,4,4,0,0,0,40,38,0
428,47,3,104301,5,1,7,3,4,0,0,0,45,38,0
429,23,8,192028,1,1,14,3,4,0,0,0,35,38,0
430,64,4,115931,3,0,13,0,4,1,0,0,50,38,0
431,21,3,147280,3,1,7,3,3,1,0,0,20,38,0
432,32,3,185433,1,0,0,5,2,0,0,0,40,38,1
433,26,3,599057,3,1,3,1,2,0,0,0,37,38,0
434,19,8,50626,1,1,14,3,2,0,0,0,20,38,0
435,62,5,71467,4,0,9,0,4,1,0,0,40,38,0
436,32,3,183977,0,0,2,0,4,1,0,0,55,38,1
437,75,8,26586,5,1,14,1,4,0,0,0,5,38,0
438,45,5,196858,3,0,3,0,4,1,0,0,60,38,0
439,31,3,160594,0,0,3,0,4,1,0,1887,50,38,1
440,32,3,65278,3,0,0,0,4,1,2580,0,40,38,0
441,24,3,102258,0,0,11,0,4,1,0,0,40,38,0
442,25,3,196947,0,1,11,3,4,0,0,0,40,38,0
443,41,5,233150,3,0,3,0,4,1,0,0,60,38,0
444,18,3,42857,1,1,11,3,4,0,0,0,20,38,0
