,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_group,loan_amount_group,loan_to_income_ratio,loan_to_emp_length_ratio,int_rate_to_loan_amt_ratio
18,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,20-25,low,small,0.16203703703703703,0.004571428571428572,0.00628
19,25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,20-25,high,very large,0.2153846153846154,5.714285714285714e-05,0.000214
20,25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,20-25,high,very large,0.25401459854014596,0.0002586206896551724,0.00048189655172413794
21,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,20-25,middle,very large,0.5230769230769231,0.00011764705882352942,0.0005170588235294117
22,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,20-25,low,small,0.1366120218579235,0.0,0.00486
23,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,20-25,high-middle,very large,0.424375,8.836524300441826e-05,0.0004282768777614138
24,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,20-25,middle,very large,0.4871136303250376,0.00024242424242424242,0.00038424242424242426
25,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,20-25,low,small,0.4159090909090909,0.0006557377049180328,0.0038775956284153
26,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,20-25,low,small,0.12727272727272726,0.0,0.006657142857142857
27,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,20-25,middle,very large,0.5,0.0001846153846153846,0.0003073846153846154
28,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,20-25,low,small,0.3512160856967249,0.00125,0.00321
29,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,20-25,low,small,0.1736111111111111,0.0025,0.00556
30,25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,20-25,high,very large,0.26666666666666666,6.25e-05,0.000206875
31,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,20-25,high-middle,very large,0.3268421052631579,0.00022544283413848632,0.0004563607085346216
32,25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,20-25,high,very large,0.07924836601307189,8.247422680412371e-05,0.0005711340206185567
33,26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,20-25,high,medium,0.026,0.001282051282051282,0.0017294871794871795
34,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,20-25,low,small,0.20833333333333334,0.002,0.0030039999999999997
35,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,20-25,low-middle,very large,0.625,3.3333333333333335e-05,0.000613
36,24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,20-25,middle,very large,0.46875,0.0002666666666666667,0.0004846666666666666
37,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,20-25,middle,very large,0.4,0.00013333333333333334,0.000563
38,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,20-25,middle,very large,0.48348106365834004,0.0002,0.0005996666666666666
39,24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,20-25,low,small,0.20833333333333334,0.0016,0.005076
40,26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,20-25,high,very large,0.06666666666666667,0.0005,0.000394
41,23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,20-25,high,very large,0.08083333333333333,4.1237113402061855e-05,0.0008004123711340207
42,26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,20-25,high,medium,0.03333333333333333,0.0009,0.001038
43,26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,20-25,high,very large,0.08333333333333333,0.0,0.0006132
44,25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,20-25,high,very large,0.06,0.0005,0.0009138888888888889
45,26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,20-25,high-middle,very large,0.37179328293468833,0.0002666666666666667,0.0002496666666666667
46,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,20-25,middle,very large,0.45248868778280543,0.00013333333333333334,0.000423
47,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,20-25,high-middle,very large,0.33697263782180886,0.0,0.00022066666666666667
48,23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,20-25,high-middle,very large,0.38461538461538464,0.00023333333333333333,0.0006206666666666667
49,23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,20-25,high-middle,very large,0.32607277944437196,0.0002,0.0005076666666666667
50,23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,20-25,high-middle,very large,0.30927835051546393,0.00023333333333333333,0.000355
51,25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,20-25,high,very large,0.25,0.0003,0.00026333333333333336
52,26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,20-25,high,medium,0.03571428571428571,0.0004,0.001596
53,26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,20-25,high,very large,0.07217506784456378,0.0,0.0005740000000000001
54,25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,20-25,high,very large,0.234375,0.0003,0.000243
55,21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,20-25,high,very large,0.22900763358778625,0.0,0.00019966666666666668
56,22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,20-25,high,large,0.04363636363636364,0.0005,0.000965
57,25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,20-25,high,very large,0.1126887536623845,0.00036,0.000628
58,22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,20-25,middle,very large,0.4157142857142857,0.0002061855670103093,0.0005494845360824742
59,22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,20-25,low,small,0.125,0.004666666666666667,0.009893333333333334
60,26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,20-25,high,very large,0.1076923076923077,0.00035714285714285714,0.0003925
61,25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,20-25,high,very large,0.07722007722007722,0.00045,0.000721
62,24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,20-25,high,medium,0.03764705882352941,0.0009375,0.000728125
63,25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,20-25,high,very large,0.1,8e-05,0.0005396
64,21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,20-25,low,small,0.25,0.002,0.004536666666666666
65,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,20-25,middle,very large,0.4307692307692308,7.142857142857143e-05,0.00028214285714285716
66,26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,20-25,high-middle,very large,0.32941176470588235,7.142857142857143e-05,0.0002675
67,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,20-25,low,medium,0.5083333333333333,0.0003278688524590164,0.0012311475409836066
68,22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,20-25,high-middle,very large,0.3181818181818182,0.00021428571428571427,0.00035392857142857144
69,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,20-25,low,small,0.35,0.0,0.0032095238095238097
70,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,20-25,low,small,0.3958333333333333,0.0012631578947368421,0.001503157894736842
71,24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,20-25,high-middle,very large,0.33733314057153874,0.0,0.0005710714285714286
72,24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,20-25,high,very large,0.072,0.00011111111111111112,0.0007211111111111112
73,25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,20-25,high-middle,very large,0.28,0.00017857142857142857,0.0004532142857142857
74,26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,20-25,high,very large,0.2545454545454545,0.00035714285714285714,0.0003178571428571429
75,23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,20-25,high,very large,0.18518518518518517,0.00025,0.00039678571428571427
76,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,20-25,low,small,0.2708333333333333,0.0015384615384615385,0.004824615384615385
77,22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,20-25,middle,very large,0.39285714285714285,0.00014545454545454546,0.00047490909090909094
78,26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,20-25,middle,very large,0.36953551912568305,0.00018484288354898336,0.000577449168207024
79,24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,20-25,high-middle,very large,0.3253012048192771,0.00018518518518518518,0.0004996296296296296
80,23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,20-25,middle,very large,0.416,0.0002692307692307692,0.0004503846153846154
81,23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,20-25,high,very large,0.21333333333333335,3.90625e-05,0.0004957031249999999
82,24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,20-25,low,small,0.12944983818770225,0.00125,0.008481250000000001
83,22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,20-25,middle,very large,0.4245833333333333,0.0,0.00043140333660451424
84,25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,20-25,high,very large,0.08547008547008547,0.00015,0.0007134999999999999
85,24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,20-25,high,very large,0.08547008547008547,0.0004,0.00044400000000000006
86,26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,20-25,high,very large,0.09230769230769231,0.000462962962962963,0.0005638888888888888
87,25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,20-25,high,large,0.053845179272773346,0.0005042016806722689,0.001211764705882353
88,26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,20-25,high,very large,0.10752688172043011,0.0,0.0005668
89,25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,20-25,high,very large,0.15217391304347827,0.00014285714285714287,0.00039971428571428574
90,23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,20-25,high-middle,very large,0.30481927710843376,0.0002766798418972332,0.0004343873517786561
91,25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,20-25,low,small,0.1388888888888889,0.0017142857142857142,0.007777142857142857
92,21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,20-25,low-middle,very large,0.5882352941176471,0.00012,0.0005092
93,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,20-25,low,small,0.2340823970037453,0.0,0.0042899999999999995
94,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,20-25,low,small,0.2816358024691358,0.000273972602739726,0.002715068493150685
95,26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,20-25,high,very large,0.08849557522123894,0.0002,0.0005745
96,25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,20-25,high,very large,0.13333333333333333,0.0,0.0006636666666666667
97,26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,20-25,high,very large,0.1643192488262911,0.00017142857142857143,0.0003042857142857143
98,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,20-25,low,small,0.3472222222222222,0.0,0.002628888888888889
99,23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,20-25,low,small,0.18467220683287167,0.0,0.005620833333333334
100,22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,20-25,low-middle,very large,0.5952380952380952,0.00024,0.0005836
101,26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,20-25,low-middle,very large,0.5208333333333334,8e-05,0.00038560000000000005
102,25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,20-25,low,small,0.2770083102493075,0.0002777777777777778,0.0040527777777777775
103,25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,20-25,low-middle,very large,0.5901794145420207,4e-05,0.0006540000000000001
104,21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,20-25,low-middle,very large,0.5102040816326531,0.00016,0.0004396
105,25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,20-25,high,very large,0.1111111111111111,0.0,0.0007468
106,26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,20-25,high,small,0.013333333333333334,0.0003333333333333333,0.003106666666666667
107,23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,20-25,high,medium,0.03333333333333333,0.0010666666666666667,0.0011506666666666668
108,26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,20-25,high,very large,0.1111111111111111,8e-05,0.0004032
109,22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,20-25,low-middle,very large,0.5054180818372959,0.0002,0.0004732
110,23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,20-25,low-middle,very large,0.5,4e-05,0.00031600000000000004
111,25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,20-25,low-middle,very large,0.5,0.00016,0.0002396
112,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,20-25,low-middle,very large,0.5681818181818182,8e-05,0.0006132
113,23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,20-25,low-middle,very large,0.5,4e-05,0.0004732
114,22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,20-25,middle,very large,0.49996000319974404,0.0,0.0004144
115,22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,20-25,middle,very large,0.49996000319974404,0.00012,0.0004892
116,22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,20-25,middle,very large,0.4807692307692308,8e-05,0.00044439999999999996
117,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,20-25,low,small,0.375,0.0006060606060606061,0.001595959595959596
118,24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,20-25,high,very large,0.11363636363636363,4e-05,0.0004632
119,23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,20-25,high,very large,0.09722222222222222,0.0002380952380952381,0.00042380952380952384
120,25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,20-25,high,very large,0.11574074074074074,8e-05,0.0006428
121,26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,20-25,high,very large,0.09259259259259259,0.0005,0.000711
122,23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,20-25,high,very large,0.16279069767441862,0.0002,0.00042257142857142857
123,26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,20-25,high,large,0.05581395348837209,0.0009166666666666666,0.0006566666666666666
124,23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,20-25,middle,very large,0.4807692307692308,4e-05,0.0005288000000000001
125,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,20-25,low-middle,very large,0.5434782608695652,8e-05,0.0004744
126,22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,20-25,middle,very large,0.4716981132075472,0.0002,0.0005371999999999999
127,26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,20-25,low-middle,very large,0.5319148936170213,0.0,0.0006112
128,23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,20-25,low-middle,very large,0.5319148936170213,4e-05,0.0007172
129,23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,20-25,low,small,0.10606060606060606,0.0014285714285714286,0.0066071428571428574
130,21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,20-25,low,small,0.3409090909090909,0.0,0.0028844444444444447
131,22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,20-25,high,very large,0.0761904761904762,0.000375,0.00066375
132,26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,20-25,high,very large,0.10476190476190476,0.00045454545454545455,0.0005377272727272727
133,26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,20-25,low-middle,very large,0.5208333333333334,0.0002,0.0007372
134,23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,20-25,middle,very large,0.45454545454545453,0.00016,0.0004544
135,23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,20-25,middle,very large,0.45454545454545453,0.00016,0.000626
136,24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,20-25,middle,very large,0.4531941121020956,0.00032,0.0005288000000000001
137,26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,20-25,middle,very large,0.44642857142857145,0.00016,0.0005147999999999999
138,24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,20-25,high,very large,0.09828009828009827,0.0004,0.0006519999999999999
139,23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,20-25,high,very large,0.11578947368421053,0.00022727272727272727,0.000799090909090909
140,23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,20-25,low,medium,0.5567528735632183,0.00025806451612903227,0.0021987096774193546
141,24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,20-25,middle,very large,0.4166666666666667,0.0,0.0004396
142,24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,20-25,middle,very large,0.4166666666666667,8e-05,0.00044439999999999996
143,26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,20-25,middle,very large,0.46296296296296297,0.00028,0.0005932
144,24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,20-25,high,large,0.06,0.0006666666666666666,0.0010575
145,24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,20-25,high,large,0.06,0.0006666666666666666,0.0011241666666666668
146,21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,20-25,high,very large,0.08,0.0003125,0.000915625
147,25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,20-25,middle,very large,0.46296296296296297,0.00012,0.0006728
148,23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,20-25,middle,very large,0.4166666666666667,0.00012,0.0005092
149,23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,20-25,middle,very large,0.4166666666666667,0.00028,0.00041
150,21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,20-25,middle,very large,0.4166666666666667,0.00024,0.0004396
151,25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,20-25,middle,very large,0.4034926322245356,0.00036,0.0005092
152,22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,20-25,middle,very large,0.4432624113475177,8e-05,0.0005984
153,21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,20-25,high,very large,0.125,8e-05,0.0005596
154,24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,20-25,high,very large,0.12,0.000125,0.0003120833333333333
155,26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,20-25,high,large,0.075,0.0002666666666666667,0.000986
156,25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,20-25,high,very large,0.0775,0.00012903225806451613,0.0007735483870967742
157,24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,20-25,high,medium,0.05,0.0008,0.000849
158,24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,20-25,middle,very large,0.3787878787878788,0.00012,0.0003964
159,22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,20-25,middle,very large,0.3787878787878788,0.00024,0.0005224
160,22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,20-25,high,medium,0.045,0.0006666666666666666,0.0006855555555555556
161,25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,20-25,high,very large,0.09,0.0002777777777777778,0.0009066666666666667
162,25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,20-25,high,large,0.06,0.00016666666666666666,0.0008650000000000001
163,25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,20-25,high,very large,0.11525,0.0003904555314533623,0.0006225596529284165
164,26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,20-25,middle,very large,0.37315660636455905,0.0004,0.0006084
165,23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,20-25,middle,very large,0.373134328358209,0.00012,0.00031600000000000004
166,24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,20-25,middle,very large,0.373134328358209,8e-05,0.0004396
167,24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,20-25,middle,very large,0.36764705882352944,0.0002,0.0005636
168,25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,20-25,middle,very large,0.36231884057971014,0.00036,0.0006996
169,25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,20-25,high,large,0.06,0.0,0.0009566666666666668
170,26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,20-25,high,very large,0.10638297872340426,0.0005,0.0008869999999999999
171,26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,20-25,high,small,0.015,0.0013333333333333333,0.00464
172,25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,20-25,middle,very large,0.35716326647236984,0.00036,0.0006084
173,22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,20-25,low,small,0.2777777777777778,0.0005,0.0027475
174,24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,20-25,middle,very large,0.35714285714285715,0.00012,0.0004744
175,24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,20-25,low,medium,0.4166666666666667,0.0008333333333333334,0.0012483333333333333
176,24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,20-25,middle,very large,0.44563279857397503,0.00028,0.0006596
177,25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,20-25,middle,very large,0.3787878787878788,0.00036,0.0006132
178,26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,20-25,middle,very large,0.3787878787878788,0.00012,0.0004632
