,deposit,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
8997,no,38,technician,divorced,secondary,no,631,yes,no,cellular,25,aug,343,2,-1,0,unknown
10189,no,38,services,divorced,primary,no,92,yes,yes,unknown,29,may,118,3,-1,0,unknown
10104,no,52,blue-collar,divorced,primary,no,2800,no,no,unknown,19,jun,149,1,-1,0,unknown
6338,no,29,unknown,single,secondary,no,923,no,no,cellular,26,may,333,1,-1,0,unknown
2253,yes,27,management,married,secondary,no,2071,no,no,cellular,4,jun,449,1,-1,0,unknown
1438,yes,23,admin.,single,tertiary,no,314,no,yes,cellular,8,apr,142,4,-1,0,unknown
4183,yes,54,housemaid,single,secondary,no,1213,no,no,cellular,12,nov,241,1,-1,0,unknown
10714,no,54,management,married,tertiary,no,1938,yes,no,telephone,31,jul,81,7,-1,0,unknown
9350,no,57,management,married,tertiary,no,0,yes,no,cellular,21,nov,67,1,-1,0,unknown
7754,no,39,self-employed,divorced,secondary,yes,-103,no,yes,unknown,5,jun,210,3,-1,0,unknown
9357,no,58,retired,married,primary,no,1351,yes,no,telephone,17,apr,392,3,-1,0,unknown
5797,no,56,technician,divorced,secondary,no,1480,yes,yes,cellular,5,feb,576,1,-1,0,unknown
5345,no,35,admin.,married,secondary,no,1345,yes,no,cellular,23,jul,135,1,-1,0,unknown
5940,no,56,blue-collar,single,secondary,no,1187,yes,no,cellular,5,feb,47,2,-1,0,unknown
10689,no,58,retired,married,secondary,no,19,no,yes,cellular,15,jul,106,3,-1,0,unknown
11018,no,37,admin.,married,secondary,no,68,yes,yes,cellular,13,may,151,2,351,1,failure
8758,no,36,management,married,tertiary,no,-92,no,yes,cellular,18,nov,196,3,-1,0,unknown
6523,no,45,management,married,tertiary,no,54,yes,no,telephone,13,may,107,3,-1,0,unknown
4576,yes,31,technician,married,tertiary,no,636,yes,no,cellular,4,may,352,4,-1,0,unknown
1408,yes,33,technician,single,tertiary,no,127,yes,no,cellular,6,apr,583,2,222,17,failure
2347,yes,37,management,married,tertiary,no,1315,no,no,cellular,30,jun,224,1,-1,0,unknown
2782,yes,77,retired,married,unknown,no,1807,no,no,telephone,20,oct,373,1,-1,0,unknown
7561,no,69,retired,married,primary,no,2398,no,no,cellular,12,apr,161,1,186,1,failure
8695,no,42,technician,married,tertiary,no,13410,no,yes,cellular,14,aug,149,2,-1,0,unknown
9223,no,55,technician,married,secondary,no,517,yes,yes,cellular,6,feb,47,3,263,4,failure
1115,yes,45,unemployed,married,secondary,no,2040,no,no,telephone,2,feb,803,1,-1,0,unknown
5237,yes,24,blue-collar,married,secondary,no,-389,yes,yes,unknown,4,jun,1242,1,-1,0,unknown
9987,no,48,admin.,married,secondary,no,292,yes,yes,cellular,29,jul,164,6,-1,0,unknown
10464,no,44,admin.,married,unknown,no,40,no,yes,unknown,6,may,160,2,-1,0,unknown
5692,no,36,technician,married,tertiary,no,911,yes,yes,cellular,4,may,275,3,-1,0,unknown
448,yes,31,technician,married,secondary,no,1173,yes,no,cellular,14,jul,444,3,-1,0,unknown
2372,yes,26,self-employed,single,tertiary,no,2857,no,no,cellular,3,jul,446,1,-1,0,unknown
10317,no,32,management,single,tertiary,no,597,no,yes,cellular,24,jul,869,1,-1,0,unknown
1984,yes,59,retired,divorced,secondary,no,5845,no,no,cellular,14,may,1060,2,-1,0,unknown
7905,no,36,management,single,tertiary,no,876,yes,no,unknown,23,may,241,2,-1,0,unknown
1944,yes,38,services,single,secondary,no,2253,yes,no,cellular,13,may,937,3,-1,0,unknown
9902,no,27,services,married,secondary,no,221,no,yes,cellular,7,jul,554,1,-1,0,unknown
7583,no,54,technician,divorced,secondary,no,83,yes,no,unknown,6,may,190,3,-1,0,unknown
944,yes,37,management,married,secondary,no,5447,yes,yes,cellular,17,nov,1789,1,-1,0,unknown
4573,yes,49,management,married,tertiary,no,1093,yes,yes,cellular,12,jan,243,2,91,2,success
5796,no,28,technician,single,tertiary,no,75,yes,yes,cellular,5,may,233,2,-1,0,unknown
2512,yes,50,services,married,secondary,no,3169,no,no,cellular,13,aug,399,1,430,1,failure
11118,no,45,unemployed,single,secondary,no,382,yes,yes,cellular,18,may,182,1,-1,0,unknown
7962,no,31,management,single,tertiary,no,4331,yes,no,cellular,22,jul,318,1,-1,0,unknown
4850,yes,25,student,single,secondary,no,2354,no,no,cellular,5,feb,226,7,-1,0,unknown
278,yes,57,housemaid,married,primary,no,625,no,yes,unknown,11,jun,867,1,-1,0,unknown
10744,no,40,technician,married,secondary,no,0,yes,yes,cellular,26,jul,105,2,172,1,failure
6302,no,51,blue-collar,married,secondary,no,814,yes,no,cellular,14,may,17,8,-1,0,unknown
80,yes,29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803,1,-1,0,unknown
7971,no,42,admin.,divorced,secondary,no,0,yes,no,unknown,7,may,229,2,-1,0,unknown
7844,no,33,blue-collar,single,primary,no,1390,yes,no,unknown,21,may,192,1,-1,0,unknown
976,yes,30,self-employed,single,secondary,no,-617,no,yes,cellular,19,nov,925,1,-1,0,unknown
277,yes,39,management,married,tertiary,no,-190,no,yes,unknown,11,jun,893,8,-1,0,unknown
10823,no,30,management,single,tertiary,no,199,no,yes,cellular,28,jul,131,7,-1,0,unknown
291,yes,35,blue-collar,married,tertiary,no,2999,no,no,unknown,12,jun,1141,6,-1,0,unknown
7062,no,45,technician,married,secondary,no,1441,yes,no,cellular,18,nov,93,1,113,2,other
10161,no,36,blue-collar,married,primary,no,973,yes,yes,unknown,23,may,293,1,-1,0,unknown
4275,yes,25,blue-collar,married,secondary,no,0,no,yes,cellular,15,jul,1424,4,-1,0,unknown
1898,yes,33,blue-collar,married,secondary,no,1240,yes,no,cellular,12,may,844,1,-1,0,unknown
6498,no,37,management,single,tertiary,no,2173,no,no,cellular,21,nov,158,3,114,1,failure
5520,no,26,management,single,tertiary,no,9447,no,no,cellular,4,sep,113,1,100,2,other
2161,yes,25,student,single,unknown,no,277,no,no,cellular,27,may,311,2,-1,0,unknown
6869,no,30,technician,single,secondary,no,-754,yes,yes,unknown,26,may,974,1,-1,0,unknown
4674,yes,34,admin.,married,tertiary,no,69,no,yes,cellular,3,aug,263,3,251,3,success
10705,no,45,management,divorced,tertiary,no,6269,yes,no,cellular,29,jul,20,2,-1,0,unknown
3395,yes,33,self-employed,single,tertiary,no,562,yes,yes,cellular,6,apr,196,1,363,1,failure
7732,no,32,management,married,tertiary,no,169,no,yes,cellular,20,aug,119,2,-1,0,unknown
7236,no,44,housemaid,married,secondary,no,281,yes,no,unknown,8,may,604,1,-1,0,unknown
1008,yes,30,blue-collar,married,secondary,no,501,yes,yes,cellular,20,nov,994,1,177,1,failure
8592,no,55,management,single,tertiary,no,797,no,no,cellular,29,jul,24,2,-1,0,unknown
7536,no,38,blue-collar,single,secondary,no,1012,yes,yes,telephone,17,nov,69,1,-1,0,unknown
10737,no,30,admin.,divorced,secondary,no,83,yes,yes,unknown,6,may,310,1,-1,0,unknown
7748,no,39,technician,single,secondary,no,175,no,yes,unknown,16,jun,757,2,-1,0,unknown
9746,no,36,technician,single,secondary,no,35,no,no,cellular,29,aug,493,2,-1,0,unknown
385,yes,33,entrepreneur,married,secondary,no,-627,yes,yes,cellular,8,jul,740,1,-1,0,unknown
2696,yes,56,services,married,secondary,no,654,no,no,cellular,15,sep,875,1,-1,0,unknown
766,yes,44,technician,single,secondary,no,244,yes,no,cellular,12,aug,1735,4,-1,0,unknown
4354,yes,46,technician,married,secondary,no,332,yes,no,unknown,9,may,772,1,-1,0,unknown
7529,no,40,admin.,single,secondary,no,877,yes,no,cellular,21,nov,12,3,177,6,failure
149,yes,30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,1,-1,0,unknown
5051,yes,36,management,married,tertiary,no,926,no,no,cellular,14,apr,216,1,-1,0,unknown
10425,no,41,blue-collar,married,primary,no,4,no,no,cellular,23,jul,74,5,-1,0,unknown
7936,no,44,services,married,secondary,no,0,yes,yes,cellular,11,may,161,1,-1,0,unknown
9049,no,51,blue-collar,married,primary,no,0,no,no,unknown,9,jun,166,2,-1,0,unknown
1499,yes,35,technician,married,secondary,no,545,yes,no,cellular,16,apr,1579,1,234,4,failure
3131,yes,66,retired,married,primary,no,3629,no,no,cellular,2,feb,474,1,172,2,other
7297,no,35,admin.,single,secondary,no,0,no,yes,cellular,7,jul,480,1,-1,0,unknown
1022,yes,36,management,single,tertiary,no,2032,no,yes,cellular,20,nov,736,1,-1,0,unknown
8170,no,36,management,single,tertiary,no,442,yes,yes,cellular,29,jul,102,3,-1,0,unknown
8315,no,27,services,married,secondary,no,1303,yes,yes,unknown,21,may,364,1,-1,0,unknown
9882,no,36,blue-collar,married,secondary,no,3935,yes,yes,unknown,27,may,220,6,-1,0,unknown
10199,no,41,blue-collar,married,secondary,no,449,yes,yes,cellular,12,may,313,2,-1,0,unknown
6673,no,45,blue-collar,married,primary,no,789,no,yes,cellular,29,jan,79,1,-1,0,unknown
1004,yes,47,self-employed,married,secondary,no,4420,yes,yes,cellular,20,nov,454,1,-1,0,unknown
10998,no,33,blue-collar,married,primary,no,-132,yes,yes,cellular,18,may,170,6,-1,0,unknown
10319,no,59,admin.,divorced,secondary,no,-41,yes,yes,unknown,20,may,171,1,-1,0,unknown
7282,no,59,technician,married,primary,no,309,no,yes,cellular,29,jul,25,5,-1,0,unknown
9692,no,51,blue-collar,married,secondary,no,-92,yes,no,unknown,4,jun,28,4,-1,0,unknown
4807,yes,32,services,married,secondary,no,264,yes,yes,cellular,19,nov,1502,1,-1,0,unknown
5669,no,35,entrepreneur,single,tertiary,no,-880,no,yes,cellular,24,jul,77,3,-1,0,unknown
10541,no,32,management,single,tertiary,no,1434,no,no,cellular,11,aug,1144,3,-1,0,unknown
4425,yes,26,services,single,tertiary,no,0,no,yes,telephone,1,jul,261,4,-1,0,unknown
901,yes,49,admin.,married,secondary,no,10250,yes,no,telephone,24,oct,97,1,-1,0,unknown
8638,no,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown
989,yes,30,entrepreneur,married,secondary,no,12737,no,yes,cellular,19,nov,589,2,-1,0,unknown
1868,yes,40,self-employed,married,secondary,no,0,yes,no,cellular,11,may,657,1,-1,0,unknown
7967,no,47,blue-collar,married,secondary,no,-337,yes,yes,cellular,12,may,366,1,-1,0,unknown
4934,yes,53,services,divorced,secondary,no,36,yes,yes,unknown,2,jul,25,1,417,1,success
5017,yes,53,blue-collar,married,primary,no,751,yes,no,cellular,3,feb,1528,2,-1,0,unknown
8937,no,52,technician,married,tertiary,no,0,no,yes,cellular,5,aug,409,1,-1,0,unknown
7559,no,39,admin.,married,secondary,no,-367,yes,no,cellular,16,apr,667,2,-1,0,unknown
9972,no,40,blue-collar,single,primary,no,1530,yes,no,cellular,20,apr,8,3,315,1,failure
1180,yes,69,management,married,tertiary,no,840,no,no,telephone,5,feb,128,3,-1,0,unknown
2785,yes,54,technician,married,secondary,no,3994,no,yes,cellular,20,oct,595,2,187,2,success
8753,no,33,technician,married,secondary,no,177,yes,yes,cellular,12,may,22,8,-1,0,unknown
10933,no,47,blue-collar,married,secondary,no,2548,yes,no,cellular,11,may,577,1,368,1,other
10820,no,29,services,married,secondary,no,191,yes,no,cellular,17,apr,87,1,-1,0,unknown
2796,yes,51,technician,married,secondary,no,371,yes,yes,cellular,21,oct,287,1,-1,0,unknown
1823,yes,40,management,married,tertiary,no,1598,yes,yes,cellular,6,may,1074,4,344,3,failure
8211,no,30,services,single,secondary,no,9,no,yes,cellular,29,jan,194,2,205,2,failure
9444,no,35,blue-collar,married,secondary,no,67,no,no,unknown,20,may,60,6,-1,0,unknown
527,yes,26,technician,single,secondary,no,223,no,yes,cellular,21,jul,1002,3,-1,0,unknown
3194,yes,77,retired,married,secondary,no,638,no,no,cellular,11,feb,288,1,188,1,success
8822,no,35,management,married,tertiary,no,354,no,yes,cellular,9,feb,117,4,12,2,other
9399,no,45,technician,married,secondary,no,2403,no,no,cellular,21,nov,207,1,-1,0,unknown
1978,yes,35,blue-collar,divorced,secondary,no,336,yes,no,cellular,14,may,191,1,346,2,failure
4994,yes,41,blue-collar,married,primary,no,1461,yes,no,unknown,6,jun,554,2,-1,0,unknown
5912,no,51,management,single,tertiary,no,1202,yes,no,cellular,18,nov,99,1,-1,0,unknown
9286,no,31,technician,married,secondary,no,450,no,yes,cellular,20,nov,111,2,129,4,failure
8867,no,34,admin.,married,secondary,no,-312,yes,no,unknown,9,may,232,1,-1,0,unknown
360,yes,32,admin.,divorced,secondary,no,-241,no,yes,unknown,27,jun,856,2,-1,0,unknown
8164,no,31,management,single,tertiary,no,0,yes,yes,cellular,14,may,117,3,352,3,failure
9566,no,34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown
3825,yes,38,services,married,secondary,no,4017,no,no,cellular,4,aug,470,1,96,3,success
6211,no,42,admin.,married,primary,no,1547,yes,yes,unknown,27,may,272,3,-1,0,unknown
2923,yes,47,management,married,tertiary,no,4693,no,yes,cellular,12,nov,89,1,97,3,success
6281,no,39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown
6190,no,42,admin.,single,secondary,no,1143,yes,yes,telephone,17,nov,106,1,-1,0,unknown
10944,no,39,technician,divorced,secondary,no,1270,yes,no,unknown,29,may,245,4,-1,0,unknown
6959,no,29,self-employed,married,tertiary,no,242,yes,no,cellular,18,jul,73,4,-1,0,unknown
1809,yes,30,management,divorced,tertiary,no,415,yes,yes,cellular,6,may,984,1,343,4,failure
9467,no,45,self-employed,married,tertiary,no,-497,yes,yes,cellular,15,may,217,1,176,1,failure
6780,no,30,services,single,secondary,no,-100,yes,yes,cellular,15,may,292,1,-1,0,unknown
8891,no,31,technician,single,tertiary,no,967,no,no,cellular,21,nov,210,3,-1,0,unknown
890,yes,42,admin.,single,secondary,no,-247,yes,yes,telephone,21,oct,519,1,166,1,other
6037,no,48,blue-collar,married,secondary,no,48,yes,yes,unknown,29,may,144,1,-1,0,unknown
8872,no,32,management,married,tertiary,no,663,no,yes,cellular,22,jul,62,3,-1,0,unknown
2262,yes,32,management,married,tertiary,no,4945,no,no,cellular,4,jun,160,1,119,2,other
607,yes,54,technician,married,secondary,no,1938,no,yes,cellular,28,jul,551,3,-1,0,unknown
555,yes,36,admin.,married,secondary,no,212,yes,yes,cellular,23,jul,1201,6,-1,0,unknown
9537,no,52,entrepreneur,married,primary,no,-104,no,yes,cellular,10,jul,124,1,-1,0,unknown
3280,yes,30,management,single,tertiary,no,5359,no,no,cellular,26,feb,427,1,191,3,success
6141,no,47,admin.,married,secondary,no,3434,yes,yes,telephone,9,jul,337,1,-1,0,unknown
1224,yes,61,retired,married,tertiary,no,1257,no,no,cellular,10,feb,503,1,-1,0,unknown
6064,no,60,retired,married,secondary,no,194,no,yes,cellular,30,jul,61,5,-1,0,unknown
414,yes,27,unemployed,single,primary,no,9,no,yes,cellular,9,jul,919,2,-1,0,unknown
7057,no,51,blue-collar,divorced,secondary,no,734,yes,yes,cellular,5,may,17,1,-1,0,unknown
9864,no,30,technician,married,secondary,no,394,no,no,cellular,22,aug,216,13,-1,0,unknown
2556,yes,49,technician,single,secondary,no,9131,yes,no,cellular,18,aug,532,1,461,5,failure
9208,no,50,blue-collar,divorced,secondary,no,204,yes,yes,unknown,14,may,421,1,-1,0,unknown
4273,yes,60,retired,divorced,secondary,no,514,no,no,cellular,16,mar,263,1,124,9,other
6782,no,32,management,single,tertiary,no,154,no,yes,cellular,21,aug,301,3,-1,0,unknown
7782,no,33,entrepreneur,married,tertiary,no,114,no,yes,cellular,28,jul,57,3,-1,0,unknown
5803,no,32,blue-collar,married,primary,no,-94,yes,yes,cellular,11,may,308,1,-1,0,unknown
5826,no,60,retired,divorced,tertiary,no,381,yes,no,cellular,17,apr,208,2,344,4,failure
822,yes,40,admin.,single,tertiary,no,27,no,no,cellular,20,aug,467,2,-1,0,unknown
2527,yes,26,admin.,single,secondary,no,255,no,no,cellular,14,aug,209,2,106,2,success
5798,no,47,services,married,secondary,no,1111,no,no,unknown,20,jun,415,4,-1,0,unknown
5347,no,50,technician,married,secondary,no,1838,yes,yes,cellular,13,aug,221,8,-1,0,unknown
7149,no,33,unemployed,married,secondary,no,438,yes,yes,unknown,21,may,129,1,-1,0,unknown
4557,yes,48,admin.,married,secondary,no,660,no,no,cellular,18,feb,318,1,561,2,success
10588,no,59,retired,married,primary,no,5521,yes,yes,unknown,13,may,94,1,-1,0,unknown
3420,yes,39,technician,married,secondary,no,603,no,yes,cellular,15,apr,214,1,-1,0,unknown
8108,no,51,housemaid,married,primary,no,1093,no,yes,unknown,18,jun,18,1,-1,0,unknown
9777,no,37,blue-collar,married,secondary,no,140,yes,yes,cellular,7,may,490,1,-1,0,unknown
9768,no,30,services,single,secondary,no,1881,no,yes,unknown,26,jun,29,1,-1,0,unknown
7612,no,55,management,married,secondary,no,0,yes,no,unknown,13,may,309,2,-1,0,unknown
7012,no,33,management,married,tertiary,no,644,yes,yes,cellular,3,feb,124,2,271,2,failure
4840,yes,30,management,single,tertiary,no,376,yes,no,cellular,21,nov,710,1,-1,0,unknown
8828,no,35,management,single,tertiary,no,592,no,yes,unknown,14,may,192,1,-1,0,unknown
6910,no,34,management,single,tertiary,no,0,yes,yes,cellular,26,may,197,2,98,1,other
2308,yes,25,technician,single,tertiary,no,3630,no,no,telephone,9,jun,221,7,-1,0,unknown
9061,no,58,retired,married,tertiary,no,4048,no,yes,cellular,15,jul,270,5,-1,0,unknown
6624,no,58,services,married,secondary,no,-37,no,yes,telephone,6,feb,150,2,205,6,failure
3711,yes,51,management,married,tertiary,no,3463,no,yes,cellular,13,jul,371,2,166,3,other
10016,no,53,management,married,tertiary,no,261,no,no,cellular,19,aug,100,2,-1,0,unknown
5573,no,52,blue-collar,married,secondary,no,5275,no,yes,cellular,22,jul,1029,3,-1,0,unknown
5337,no,33,technician,married,secondary,no,-616,yes,yes,unknown,27,may,320,1,-1,0,unknown
1973,yes,34,admin.,married,primary,no,0,yes,yes,cellular,14,may,1020,1,-1,0,unknown
8800,no,34,blue-collar,married,primary,no,3868,yes,no,cellular,18,may,134,1,350,1,failure
2003,yes,26,blue-collar,single,secondary,no,26,yes,yes,cellular,15,may,899,1,-1,0,unknown
2743,yes,56,unemployed,married,secondary,no,12,no,no,cellular,12,oct,511,3,187,1,failure
105,yes,31,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045,1,-1,0,unknown
1100,yes,32,technician,single,secondary,no,540,no,yes,cellular,29,jan,750,1,-1,0,unknown
7321,no,43,technician,married,primary,no,4844,yes,no,cellular,19,nov,434,1,-1,0,unknown
2203,yes,33,services,divorced,secondary,no,1117,no,no,cellular,2,jun,417,1,-1,0,unknown
10038,no,43,blue-collar,married,primary,no,232,no,yes,cellular,15,may,45,1,-1,0,unknown
11057,no,31,management,divorced,tertiary,no,-547,yes,yes,cellular,31,jul,101,10,-1,0,unknown
8096,no,56,housemaid,divorced,secondary,no,1866,no,yes,cellular,1,oct,760,1,-1,0,unknown
5949,no,35,technician,single,secondary,no,196,yes,no,cellular,21,nov,318,1,-1,0,unknown
846,yes,46,management,single,tertiary,no,0,no,no,cellular,22,aug,686,2,-1,0,unknown
2050,yes,29,blue-collar,married,secondary,no,-493,yes,no,cellular,18,may,536,2,334,4,failure
4640,yes,25,technician,single,secondary,no,4859,no,no,cellular,12,jan,227,1,-1,0,unknown
2209,yes,32,admin.,married,tertiary,no,653,no,no,cellular,2,jun,84,1,-1,0,unknown
5748,no,26,services,single,primary,no,179,yes,yes,cellular,28,jul,333,4,-1,0,unknown
6337,no,44,technician,married,tertiary,no,964,no,no,cellular,29,jul,158,2,-1,0,unknown
8950,no,47,self-employed,married,secondary,no,318,no,no,cellular,21,nov,83,1,-1,0,unknown
4279,yes,47,management,single,tertiary,no,255,no,yes,cellular,30,jul,802,4,-1,0,unknown
5007,yes,47,blue-collar,married,secondary,no,8229,no,no,cellular,8,aug,784,2,-1,0,unknown
302,yes,51,management,single,secondary,no,1610,yes,no,unknown,16,jun,1248,3,-1,0,unknown
5023,yes,50,management,married,tertiary,no,3463,no,yes,cellular,28,oct,96,1,-1,0,unknown
121,yes,32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,2,-1,0,unknown
4436,yes,54,management,married,tertiary,no,1014,no,yes,cellular,30,apr,240,1,162,2,failure
9010,no,57,admin.,married,secondary,no,2137,no,no,telephone,8,jul,132,7,-1,0,unknown
5332,no,43,technician,divorced,primary,no,13,no,yes,cellular,9,jul,977,4,-1,0,unknown
8797,no,33,admin.,married,tertiary,no,99,yes,yes,cellular,18,nov,55,2,-1,0,unknown
4916,yes,60,housemaid,married,secondary,no,0,no,no,telephone,3,aug,676,2,181,5,failure
5671,no,52,blue-collar,married,primary,no,1624,no,no,unknown,20,jun,114,3,-1,0,unknown
3460,yes,69,retired,married,secondary,no,0,no,no,cellular,28,apr,184,2,126,2,other
7609,no,38,technician,married,secondary,no,185,no,yes,cellular,29,aug,44,16,-1,0,unknown
5750,no,39,management,married,tertiary,no,839,no,yes,cellular,11,oct,365,2,774,11,failure
1554,yes,59,management,married,tertiary,no,0,yes,yes,cellular,20,apr,392,1,-1,0,unknown
3570,yes,54,retired,married,secondary,no,3538,no,no,cellular,27,may,820,1,-1,0,unknown
5307,no,52,blue-collar,married,primary,no,117,no,yes,cellular,24,jul,164,2,-1,0,unknown
1007,yes,33,technician,married,tertiary,no,6843,no,no,cellular,20,nov,755,1,100,10,other
10692,no,36,management,married,secondary,no,1898,yes,yes,unknown,30,may,233,1,-1,0,unknown
10934,no,31,services,single,secondary,no,3,yes,no,cellular,5,may,41,1,-1,0,unknown
5485,no,54,self-employed,divorced,tertiary,no,0,yes,yes,cellular,29,jan,309,3,-1,0,unknown
8939,no,46,self-employed,divorced,secondary,no,0,no,no,unknown,10,aug,6,1,-1,0,unknown
9741,no,60,retired,married,primary,no,6307,yes,no,unknown,11,jun,362,1,-1,0,unknown
5031,yes,30,management,single,tertiary,no,8535,no,no,cellular,18,jun,393,2,-1,0,unknown
8964,no,31,blue-collar,divorced,primary,no,158,yes,no,unknown,28,may,157,1,-1,0,unknown
6757,no,28,blue-collar,married,primary,no,278,yes,yes,telephone,15,may,31,9,373,4,other
1671,yes,44,self-employed,divorced,tertiary,no,1070,yes,no,cellular,30,apr,381,1,160,2,other
965,yes,54,management,divorced,tertiary,no,2171,yes,yes,telephone,18,nov,1034,1,-1,0,unknown
2060,yes,27,blue-collar,single,secondary,no,513,yes,yes,cellular,18,may,351,1,-1,0,unknown
6940,no,77,retired,married,tertiary,no,1047,no,no,cellular,30,jun,108,5,-1,0,unknown
9279,no,32,technician,married,tertiary,no,240,yes,yes,cellular,14,jul,86,3,-1,0,unknown
7626,no,44,management,married,unknown,no,2982,no,no,unknown,16,jun,55,2,-1,0,unknown
3139,yes,44,technician,married,tertiary,no,1818,yes,yes,cellular,3,feb,508,1,92,4,failure
10528,no,60,blue-collar,married,primary,no,4903,no,yes,unknown,9,jun,290,1,-1,0,unknown
6536,no,52,self-employed,divorced,secondary,no,385,no,yes,cellular,26,aug,96,4,-1,0,unknown
8552,no,35,management,married,tertiary,no,71,yes,no,cellular,30,apr,510,2,-1,0,unknown
10789,no,50,management,single,secondary,no,4527,yes,no,cellular,14,may,140,1,-1,0,unknown
3841,yes,61,blue-collar,married,primary,no,5,no,no,cellular,6,aug,562,2,94,3,success
5364,no,59,services,married,secondary,no,307,yes,yes,unknown,6,may,250,7,-1,0,unknown
5945,no,33,blue-collar,single,secondary,no,1387,no,no,cellular,5,feb,185,1,-1,0,unknown
1539,yes,38,admin.,married,secondary,no,0,yes,yes,cellular,17,apr,547,2,-1,0,unknown
